"crcaa_applicationname","crcaa_approvalstatus","importsequencenumber","crcaa_licensestatus","crcaa_reviewcomments","crcaa_reviewstatus","crcaa_softwareapplicationrecordid","statuscode","statecode","crcaa_providername","timezoneruleversionnumber","crcaa_typeofsoftware","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"QuickFlow","1","","2","","1","c9254798-0d37-4e17-ace7-134e482942d8","1","0","SoftBridge","","12","","1929623","76f68aae-594e-f011-877a-6045bdeb5eaf"
"ModelIt Pro","1","","1","","1","a17fecf9-2c51-f011-877a-7c1e5219646f","1","0","SimuLab","","8","","1929613","76f68aae-594e-f011-877a-6045bdeb5eaf"
"DesignMind","1","","1","","1","a07fecf9-2c51-f011-877a-7c1e5219646f","1","0","UIWorks","","17","","1929612","76f68aae-594e-f011-877a-6045bdeb5eaf"
"FlowWrite","1","","2","","1","9f7fecf9-2c51-f011-877a-7c1e5219646f","1","0","DocuStream","","6","","1929611","76f68aae-594e-f011-877a-6045bdeb5eaf"
"CyberGuard Lite","2","","2","","1","9e7fecf9-2c51-f011-877a-7c1e5219646f","1","0","SecureWare Inc.","","15","","1929610","76f68aae-594e-f011-877a-6045bdeb5eaf"
"LearnSmart EDU","1","","1","","1","9d7fecf9-2c51-f011-877a-7c1e5219646f","1","0","EduBridge","","10","","1929609","76f68aae-594e-f011-877a-6045bdeb5eaf"
"VideoSpark","1","","1","","1","9c7fecf9-2c51-f011-877a-7c1e5219646f","1","0","CinePro Labs","","11","","1929608","76f68aae-594e-f011-877a-6045bdeb5eaf"
"DrawEase","1","","2","","1","9b7fecf9-2c51-f011-877a-7c1e5219646f","1","0","Artistic Minds","","1","","1929607","76f68aae-594e-f011-877a-6045bdeb5eaf"
"ScriptEase","1","","1","","1","9a7fecf9-2c51-f011-877a-7c1e5219646f","1","0","CodeCraft","","4","","1929606","76f68aae-594e-f011-877a-6045bdeb5eaf"
"LogicPro Analytics","1","","1","","1","997fecf9-2c51-f011-877a-7c1e5219646f","1","0","InsightBridge","","5","","1929605","76f68aae-594e-f011-877a-6045bdeb5eaf"
"SoundMix Studio","2","","2","","1","987fecf9-2c51-f011-877a-7c1e5219646f","1","0","TuneWorks","","7","","1929604","76f68aae-594e-f011-877a-6045bdeb5eaf"
"3DView Pro","1","","1","","1","977fecf9-2c51-f011-877a-7c1e5219646f","1","0","MeshLogic","","16","","1929603","76f68aae-594e-f011-877a-6045bdeb5eaf"
"DocScanner X","1","","2","","1","967fecf9-2c51-f011-877a-7c1e5219646f","1","0","ScanTech","","9","","1929602","76f68aae-594e-f011-877a-6045bdeb5eaf"
"PhotoFixer","2","","1","","1","957fecf9-2c51-f011-877a-7c1e5219646f","1","0","ImageTech","","3","","1929601","76f68aae-594e-f011-877a-6045bdeb5eaf"
"PlanMaster","1","","2","","1","947fecf9-2c51-f011-877a-7c1e5219646f","1","0","OrganiSoft","","6","","1929600","76f68aae-594e-f011-877a-6045bdeb5eaf"
"SecureDocs Vault","1","","1","","1","937fecf9-2c51-f011-877a-7c1e5219646f","1","0","SafeSync Systems","","15","","1929599","76f68aae-594e-f011-877a-6045bdeb5eaf"
"Animatrix Studio","1","","1","","1","927fecf9-2c51-f011-877a-7c1e5219646f","1","0","FXWare","","14","","1929598","76f68aae-594e-f011-877a-6045bdeb5eaf"
"AlgoLearn","1","","1","","1","917fecf9-2c51-f011-877a-7c1e5219646f","1","0","BrainFuel","","10","","1929597","76f68aae-594e-f011-877a-6045bdeb5eaf"
"WebBuilder Lite","2","","2","","1","907fecf9-2c51-f011-877a-7c1e5219646f","1","0","WebSphere","","4","","1929596","76f68aae-594e-f011-877a-6045bdeb5eaf"
